Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
1550;Anaesthesia Billing Support (PSS in Confluence);Financial Management Work Group;Anesthesia Work Group;Administrative;MaryKay McDaniel/Ben Krahenbuhl (Epic);Active Project (Resources assigned to pjt);30/10/2019;23/12/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;Revise Current Standard, IG;Anaesthesia, Billing, Billing Support;"https://confluence.hl7.org/display/FM/PSS+for+Anaesthesia+Billing+Support
FM Confluence Page: https://confluence.hl7.org/display/FM/Anaesthesia+Billing";Yes;"FHIR IG; V2 Messages-Administrative; V2 Messages-Clinical";03/07/2019 08:00
1557;FHIR IG Publisher Templates Framework (ONC/Grant funded project);Board of Directors Work Group;;None;Lloyd McKenzie, Eric Haas;Archived;;;Vendor Contract;2019 Sept WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;15/07/2019 08:00
1560;FHIR IG Workhops (ONC/Grant funded project);Board of Directors Work Group;;None;Wayne Kubick, Grahame Greive;Archived;;;Vendor Contract;2019 Sept WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;16/07/2019 08:00
1556;Ballot & Publish IPS FHIR IG (ONC/Grant funded project);Board of Directors Work Group;;None;Rob Hausam;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Jan WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;17/07/2019 08:00
1563;FHIR Accelerator Support;Board of Directors Work Group;;None;Ken McCaslin;Archived;;;Vendor Contract;2021 Jan WGM/Ballot;;;;;;24/07/2019 08:00
1491;VSD-compliant profile on FHIR value set resource;Vocabulary Work Group;;Infrastructure;Rob McClure and Carol Macumber;Active Project (Resources assigned to pjt);14/01/2019;11/02/2019;Ballot - Informative;2023 Jan WGM/Ballot;Supplement to a Current Standard;VSDP ;https://confluence.hl7.org/display/VOC/VSD-compliant+profile+on+FHIR+Value+set+resource;N/A;FHIR Profile;30/07/2019 08:00
1558;US Core Updates for Provenance (ONC/Grant funded project);Board of Directors Work Group;;None;Brett Marquard, Eric Haas;Archived;;;Vendor Contract;2020 Jan WGM/Ballot;;;ONC Project Wiki Page: http://wiki.hl7.org/index.php?title=ONC_Grant_Project_Page;N/A;;31/07/2019 08:00
1551;Mobile Health App Data Exchange (PSS in Confluence);Mobile Health Work Group;;Infrastructure;Keith Boone;Archived;16/09/2019;14/10/2019;;2020 Jan WGM/Ballot;;;https://confluence.hl7.org/display/MH/Mobile+Health+App+Data+Exchange;;;02/08/2019 08:00
1552;SHIFT PSS-lite (PSS in Confluence);Mobile Health Work Group;Electronic Health Records Work Group;Infrastructure;John Ritter, Gora Datta;Active Project (Resources assigned to pjt);16/09/2019;30/09/2019;Investigative Project (PSS-Lite);2021 Jan WGM/Ballot;;"SHIFT; School Health Innovation Framework leveraging Technology; School Nursing Project.";"https://confluence.hl7.org/display/MH/SHIFT+PSS-lite

https://confluence.hl7.org/display/MH/SHIFT+White+Paper";No;- New Product Definition -;16/08/2019 08:00
1561;FHIR Bulk Data Meeting (ONC/Grant funded project);Board of Directors Work Group;;None;Boston's Children's Hospital, Mike Flanigan and Mark Krasnow;Archived;;;Vendor Contract;2020 Jan WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;26/08/2019 08:00
1519;Pharmacy FHIR IG;Pharmacy Work Group;;Clinical;Melva Peters;Archived;;;- Other -;2022 Jan WGM/Ballot;;;;;;02/09/2019 08:00
1569;FHIR Shorthand (PSS in Confluence);FHIR Infrastructure Work Group;;Infrastructure;Mark Kramer;Archived;22/11/2019;02/12/2019;Ballot - STU to Normative;2023 Jan WGM/Ballot;Create New Standard;FSH, SUSHI, DSL, shorthand, IG, language;https://confluence.hl7.org/display/FHIRI/FHIR+Shorthand;No;Creating/Using a tool not listed in the HL7 Tool Inventory;18/09/2019 08:00
1567;Gravity Project SDOH Data Elements FHIR IG (PSS in Confluence);Patient Care Work Group;Vocabulary Work Group;Clinical;Lisa Nelson;STU - Request Publication;22/10/2019;18/11/2019;Ballot - STU to Normative;2022 Jan WGM/Ballot;IG;Gravity Project, SDOH Data Elements, SDOH Core Data for Interoperability;https://confluence.hl7.org/display/GRAV/Gravity+SDOH+FHIR+IG;Yes;FHIR IG;23/09/2019 08:00
1577;Regulated Product Submission R2 (Reaffirmation) (PSS in Confluence);Biomedical Research and Regulation Work Group;;Clinical;Mark Gray;Archived;14/10/2019;28/10/2019;Ballot - Normative (no STU);2020 Sept WGM/Ballot;Reaffirmation of a standard;;"https://confluence.hl7.org/pages/viewpage.action?pageId=66920977

https://confluence.hl7.org/pages/viewpage.action?pageId=66923135";No;V3 Messages-Clinical;01/10/2019 08:00
1574;BRIDG 2020 Update (PSS in Confluence);Biomedical Research and Regulation Work Group;;Clinical;Smita Hastak;Archived;29/10/2020;11/11/2019;Ballot - Informative;2020 Sept WGM/Ballot;Revise Current Standard;BRIDG, BRIDG Model, Biomedical Research Integrated Domain Group Model ;"https://confluence.hl7.org/display/BRR/BRIDG+2020+Update

https://confluence.hl7.org/display/BRR/BRIDG+Model";N/A;Domain Analysis Model (DAM);01/10/2019 08:00
1580;QA C-CDA Samples (ONC/Grant funded project);Board of Directors Work Group;;None;Gay Dolin;Archived;;;Vendor Contract;2020 Jan WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;03/10/2019 08:00
1581;C-CDA Rubric Reconciliation (ONC/Grant funded project);Board of Directors Work Group;;None;Gay Dolin;Archived;;;Vendor Contract;2020 May WGM/Ballot;;;"On the Confluence ONC Grant Project Page:
https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page";N/A;;03/10/2019 08:00
1583;HL7 Implementer Project Director;Board of Directors Work Group;;None;David Pyke, Micky Tripathi;Archived;;;Vendor Contract;2020 Jan WGM/Ballot;;;;;;03/10/2019 08:00
1562;Reaffirmation of HL7 Version 3 Standard: Shared Messages, Release 3 for 2020 (PSS In Confluence);Infrastructure and Messaging Work Group;;Infrastructure;Anthony (Tony) Julian;Archived;23/08/2019;;Ballot - Normative (no STU);2020 May WGM/Ballot;Reaffirmation of a standard;Shared Messages, Release 3;"https://confluence.hl7.org/display/INM/Reaffirmation+of+HL7+Version+3+Standard%3A+Shared+Messages%2C+Release+3

http://wiki.hl7.org/index.php?title=SharedMessageR3-reaff";No;V3 Messages-Infrastructure;10/10/2019 08:00
1565;Centers for Medicare and Medicaid Services (CMS) Data Element Library (DEL) (PSS in Confluence);Patient Empowerment Work Group;;Clinical;Dave Hill;Active Project (Resources assigned to pjt);;;Ballot - Comment;2020 Jan WGM/Ballot;Create New Standard;PAC Assessments 1) Resident Assessment Instrument (RAI) Minimum Data Set (MDS) used by Skilled Nursing Facilities (SNFs) 2) Inpatient Rehabilitation Facility – Patient Assessment Information (IRF-PAI) used by IRFs 3) LTCH Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) used by Long-Term Care Hospital (LTCHs) 4) Outcome and Assessment Information Set used by Home Health Agencies (HHAs);"https://confluence.hl7.org/pages/viewpage.action?pageId=58658098

https://github.com/paciowg/del

Project Scope Statement                https://confluence.hl7.org/pages/viewpage.action?pageId=58658098
IG                  https://paciowg.github.io/del/
Reference Implementation Code
Server:                         https://github.com/paciowg/del
Client:                          https://github.com/paciowg/delDemo
Hosted Reference Implementation
Server:                         http://api.logicahealth.org/PACIO/open/
Client:                          https://paciowg.github.io/del-search/
Test Scripts:                            https://github.com/paciowg/inferno";Yes;"FHIR Profile; FHIR Resources";15/10/2019 08:00
1572;PACIO Project Cognitive Status (PSS in Confluence);Patient Care Work Group;Conformance Work Group;Clinical;Dave Hill;STU - Request Publication;25/07/2020;03/08/2020;Ballot - STU to Normative;2023 Sept WGM/Ballot;Create New Standard;PAC Assessments 1) Resident Assessment Instrument (RAI) Minimum Data Set (MDS) used by Skilled Nursing Facilities (SNFs) 2) Inpatient Rehabilitation Facility – Patient Assessment Information (IRF-PAI) used by IRFs 3) LTCH Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) used by Long-Term Care Hospital (LTCHs) 4) Outcome and Assessment Information Set used by Home Health Agencies (HHAs);https://confluence.hl7.org/display/PC/PACIO+Project+Cognitive+Status;Yes;"FHIR Profile; FHIR Resources";18/10/2019 08:00
1571;PACIO Project Functional Status (PSS in Confluence);Patient Care Work Group;Conformance Work Group;Clinical;Dave Hill;STU - Request Publication;25/07/2020;03/08/2020;Ballot - STU to Normative;2023 Sept WGM/Ballot;Create New Standard;PAC Assessments 1) Resident Assessment Instrument (RAI) Minimum Data Set (MDS) used by Skilled Nursing Facilities (SNFs) 2) Inpatient Rehabilitation Facility – Patient Assessment Information (IRF-PAI) used by IRFs 3) LTCH Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) used by Long-Term Care Hospital (LTCHs) 4) Outcome and Assessment Information Set used by Home Health Agencies (HHAs);https://confluence.hl7.org/display/PC/PACIO+Project+Functional+Status;Yes;"FHIR Profile; FHIR Resources";18/10/2019 08:00
1575;Vital Records Reporting Domain Analysis Model R4 (PSS in Confluence);Public Health Work Group;;Clinical;AbdulMalik Shakir;STU - Preparing Ballot;;;Ballot - STU to Normative;2022 Jan WGM/Ballot;Revise Current Standard;"Vital Records (VR); Domain Analysis Model (DAM); ";"https://confluence.hl7.org/display/PHWG/Vital+Records+Reporting+Domain+Analysis+Model+R4

http://www.hl7.org/Special/committees/pher/docs.cfm";Yes;Domain Analysis Model (DAM);22/10/2019 08:00
1576;Consolidated Conformance Website (PSS in Confuence);Conformance Work Group;;Infrastructure;Frank Oemig;Active Project (Resources assigned to pjt);;;- Other -;2022 Sept WGM/Ballot;Supplement to a Current Standard;;https://confluence.hl7.org/display/CONF/Consolidated+Conformance+Website;No;;22/10/2019 08:00
1582;HL7 Process Improvements;Board of Directors Work Group;;None;Melva Peters;Archived;;;Vendor Contract;2021 Jan WGM/Ballot;;;;;;28/10/2019 08:00
1579;"Reaffirm HL7 Version 3 Standard: Patient Administration; Person Registry, Release 1";Patient Administration Work Group;;Administrative;PA WG Co-Chairs;Archived;02/12/2019;;Ballot - Normative (no STU);2021 May WGM/Ballot;Reaffirmation of a standard;;;N/A;;13/11/2019 08:00
1590;Recommendations for a More Agile Standards Process;Board of Directors Work Group;;None;Elliot Silver, Yervant Terzian, Jean Dutau;Archived;;;Vendor Contract;2020 May WGM/Ballot;;;;;;19/11/2019 08:00
1587;Reaffirmation of HL7 Version 3 Standard: Common Terminology Services, Release 2;Vocabulary Work Group;;Infrastructure;Russ Hamm, Ted Klein;Archived;;;Ballot - Normative (no STU);2020 Sept WGM/Ballot;----------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;;;;----------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;21/11/2019 08:00
1586;Reaffirmation of HL7 Version 3 Standard: Refinement, Constraint and Localization to Version 3 Messages, Release 2;Conformance Work Group;;Infrastructure;Frank Oemig;Archived;;;Ballot - Normative (no STU);2021 May WGM/Ballot;----------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;;;;----------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;21/11/2019 08:00
1487;Co-Chair Handbook Conversion From MS Word to Confluence;Board of Directors Work Group;;None;Jean Duteau;Archived;;;Vendor Contract;2019 Jan WGM/Ballot;;;;;;03/12/2019 08:00
1501;Reducing Clinician Burden;Electronic Health Records Work Group;;Administrative;Gary Dickinson FHL7, David Schlossman MD;Comment - Considering Comments;01/02/2020;17/02/2020;Ballot - Comment;2021 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);Reducing Clinician Burden, Reducing Burden, RCB ;"https://confluence.hl7.org/display/EHR/2019-01-21+Reducing+Clinician+Burden

https://wiki.hl7.org/Reducing_Clinician_Burden";N/A;;10/12/2019 08:00
1600;Cross Paradigm CUI 32 CFR Part 2002, 42 CFR Part 2, and Title 38 Section 7332 Security Labeling IGs (PSS in Confluence);Security Work Group;Community-Based Care and Privacy (CBCP) Work Group;Clinical;Mike Davis;STU - Preparing Ballot;18/12/2019;03/01/2020;Ballot - STU to Normative;2022 May WGM/Ballot;IG;X-Paradigm Security Labeling IG;"https://confluence.hl7.org/display/SEC/Cross+Paradigm+CUI+32+CFR+Part+2002%2C+42+CFR+Part+2%2C+and+Title+38+Section+7332+Security+Labeling+IGs+PSS

https://confluence.hl7.org/display/SEC/Cross+Paradigm+US+Security+Labeling+IG";No;"V2 Messages-Administrative; V2 Messages-Clinical; V2 Messages-Infrastructure";10/12/2019 08:00
1480;CDA IG Quality Criteria Maintenance;Structured Documents Work Group;Vocabulary Work Group;Infrastructure;Austin Kreisler (austin.j.kreisler at leidos dot com);Archived;14/01/2019;04/02/2019;Ballot - Comment;2025 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);N/A;https://confluence.hl7.org/display/SD/CDA+IG+Quality+Criteria;N/A;- New Product Project (Educ, Marketing, Elec Services, Etc);11/12/2019 08:00
1598;FHIR-Based Quality Reporting White Paper;Clinical Quality Information Work Group;;Clinical;Bryn Rhodes;Informative - Balloting;23/01/2020;02/03/2020;Ballot - Informative;2020 Sept WGM/Ballot;White Paper (Balloted Informative);FHIR, Clinical Quality Reporting, Clinical Quality Measurement;"https://confluence.hl7.org/display/CQIWC/FHIR-Based+Quality+Reporting+White+Paper

http://github.com/HL7/cqi-fhir-based-quality-reporting";N/A;White Paper;13/12/2019 08:00
1607;Military Service History and Status FHIR Profiles (PSS in Confluence);Cross-Group Projects Work Group;;Organizational Support;Ioana Singureanu, VA;STU - Reconcile;21/02/2020;02/03/2020;Ballot - STU to Normative;2022 Jan WGM/Ballot;Supplement to a Current Standard, IG;Military Service History, Combat, Veteran Status ;"https://confluence.hl7.org/display/CGP/Military+Service+History+and+Status+FHIR+Profiles

https://confluence.hl7.org/display/CGP/TBD";;FHIR IG;19/12/2019 08:00
1599;Application Data Exchange Assessment Framework and Functional Requirements for Mobile Health (PSS in Confluence);Mobile Health Work Group;Electronic Health Records Work Group;Infrastructure;Christina Caraballo;STU - Reconcile;08/03/2020;16/03/2020;Ballot - STU to Normative;2021 May WGM/Ballot;IG;mHealth ADE Assessment Framework;https://confluence.hl7.org/display/MH/Mobile+Health+App+Data+Exchange+Project;Yes;;20/12/2019 08:00
1601;OID Maintenance - 2020;Board of Directors Work Group;;None;Wilfred Bonney;Archived;;;Vendor Contract;2021 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;;;- Non Product Project -;01/01/2020 00:00
1588;FHIR Build and IG (IG) Publishing (ONC/Grant funded project);Board of Directors Work Group;;None;Mark Iantorno;Active Project (Resources assigned to pjt);;;Vendor Contract;2022 Sept WGM/Ballot;;;https://confluence.hl7.org/display/PMO/ONC+Grant+Project+Page;N/A;;01/01/2020 08:00
1597;SMART Web Messaging (PSS in Confluence);FHIR Infrastructure Work Group;Clinical Decision Support Work Group;Infrastructure;Carl Anderson;STU - Reconcile;16/05/2020;01/06/2020;Ballot - STU to Normative;2025 Jan WGM/Ballot;Create New Standard, IG;;https://confluence.hl7.org/display/FHIRI/SMART+Web+Messaging+PSS;;Guidance (e.g. Companion Guide, Cookbook, etc);03/01/2020 08:00
1553;Dental Data Exchange (CDA and FHIR) PSS;Payer/Provider Info Exchange Work Group;Structured Documents Work Group;Administrative;Greg Zeller;STU - Test Period/Accepting Comments;04/02/2020;09/03/2020;Ballot - STU to Normative;2024 May WGM/Ballot;Create New Standard;;"https://confluence.hl7.org/display/ATT/Dental+Data+Exchange+%28CDA+and+FHIR%29+PSS

https://confluence.hl7.org/display/ATT/Dental+Summary+Exchange+Project";Yes;;07/01/2020 08:00
1618;Multiple Chronic Conditions (MCC) Dynamic Electronic Care Planning and Management FHIR IG (PSS in Confluence);Patient Care Work Group;Clinical Decision Support Work Group;Clinical;Gay Dolin;Active Project (Resources assigned to pjt);23/06/2020;06/07/2020;Ballot - STU to Normative;2025 Sept WGM/Ballot;IG;eCare Plan, Dynamic Care Plan, Multiple Chronic Condition Care Plan, Shared Care Plan, Comprehensive Care Plan, Care Planning and Management;"https://confluence.hl7.org/display/PC/Multiple+Chronic+Conditions+Dynamic+Electronic+Care+Plan+FHIR+IG

HTTP://Multiple Chronic Conditions (MCC) eCare Plan";Yes;"FHIR IG; FHIR Profile";03/02/2020 08:00
1605;MedicationKnowledge Guidance IG;Pharmacy Work Group;;Clinical;Melva Peters;Archived;;;- Other -;2023 May WGM/Ballot;;;;;;06/02/2020 08:00
1609;Patient Medication List Guidance (PSS in Confluence);Pharmacy Work Group;;Clinical;Melva Peters;Active Project (Resources assigned to pjt);08/03/2020;16/03/2020;Ballot - Informative;2021 Sept WGM/Ballot;Revise Current Standard, IG;"Medication List, Medication Profile, Active Medication List; Medication History";;No;FHIR IG;06/02/2020 08:00
1573;Specialty Medication Prescribing (PSS in Confluence);Pharmacy Work Group;Orders and Observations Work Group, Patient Care Work Group;Clinical;Melva Peters;STU - Reconcile;08/03/2020;03/12/2021;Ballot - STU;2023 Jan WGM/Ballot;Create New Standard, IG;Specialty enrollment, specialty referrals, hub enrollment, manufacturer enrollment, pharmacy;https://confluence.hl7.org/display/PHAR/Specialty+Medication+Prescribing;Yes;"FHIR IG; FHIR Profile";17/02/2020 08:00
